ID,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
0,C2FO,20,2,12/9/2022,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private,
1,VideoAmp,Unclear,2,9/19/2022,Advertising platforms,Los Angeles,Company memo,Private,
2,Amperity,13,3,8/20/2022,"Saas, analytics",Seattle,Geekwire,Private,
3,Addepar,20,3,1/18/2023,"fintech, data analytics","Mountain View, CA",Fortune,Private,
4,Thirty Madison,24,3,5/13/2022,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees."
5,NextRoll,Unclear,3,7/8/2022,Marketing Tech,San Francisco,Business Insider,Private,
6,Armis Security,25,4,12/8/2022,Cybersecurity,San Francisco,Calcalistech,Private,
7,Foxtrot,26,4,9/23/2022,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
8,Headspace Health,50,4,12/14/2022,"telehealth, wellness",Los Angeles,Bloomberg,Private,
9,RealSelf,11,5,7/21/2022,Beauty tech,Seattle,GeekWire,Private,
10,New Relic,110,5,8/18/2022,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
11,Abra,12,5,6/30/2022,Crypto,Mountain View,The Block,Private,
12,Clarify Health,15,5,7/22/2022,Health Care,San Francisco,Axios,Private,
13,Argo AI,150,5,7/7/2022,Transportation,Pittsburgh,TechCrunch,Private,
14,Snyk,220,5,10/24/2022,Cybersecurity,Boston,Globes,Private,
15,JOKR,50,5,6/16/2022,"Food delivery, ecommerce",New York,TechCrunch,Private,
16,Project44,63,5,7/15/2022,Logistics,Chicago,FreightWaves,Private,
17,Reef,750,5,5/6/2022,"Food delivery, ecommerce",Miami,The Information,Private,
18,Outreach,Unclear,5,8/2/2022,Sales Tech,Seattle,LinkedIn,Private,
19,Boosted Commerce,Unclear,5,7/25/2022,E-commerce,Los Angeles,Business Insider,Private,
20,Forward,Unclear,5,7/11/2022,Health Care,San Francisco,Fierce Healthcare,Private,
21,CoinDCX,100,6,1/11/2023,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,
22,Food52,20,6,4/8/2022,"Media, E-commerce",New York,Digiday,Private,
23,Motive,237,6,12/7/2022,"enterprise software, productivity",San Francisco,Motive,Private,
24,Canoo,58,6,7/1/2022,Transportation,"Torrance, California",Business Insider,Private,
25,Wonder,130,7,11/30/2022,"Food delivery, ecommerce",New York,The Information,Private,
26,Argyle,20,7,8/26/2022,InsurTech,New York,TechCrunch,Private,
27,Kabam,35,7,11/9/2022,video games,San Francisco,TechCrunch,Private,
28,Upstart,60,7,11/1/2022,Fintech,"San Carlos, CA",TechCrunch,Private,
29,Gemini,68,7,7/18/2022,Crypto,New York,TechCrunch,Private,
30,Faire,84,7,11/3/2022,"E-commerce, retail",San Francisco,The Information,Private,
31,Convoy,90,7,6/9/2022,Logistics,Seattle,GeekWire,Private,
32,DataRobot,Unclear,7,8/8/2022,Artificial Intelligence,Boston,Boston Globe,Private,
33,ShipBob,Unclear,7,8/25/2022,"Shipping, Logistics",Chicago,Business Insider,Private,
34,ClickUp,Unclear,7,5/24/2022,Productivity Tools,San Diego,Protocol,Private,
35,Innovaccer,120,8,9/1/2022,"Cloud Infrastructure, health care",San Francisco,Inc42,Private,
36,StockX,120,8,6/28/2022,E-commerce,Detroit,The Information,Private,
37,Albert,20,8,6/10/2022,FinTech,Los Angeles,dot.LA,Private,
38,Personetics,30,8,1/5/2023,"Fintech, analytics",New York,Calcalistech,Private,
39,Bright Machines,30,8,6/28/2022,Robotics,San Francisco,CTech,Private,
40,Stash Financial,32,8,12/6/2022,"fintech, personal finance",New York,Stash,Private,
41,Dutchie,56,8,6/6/2022,Cannabis,"Bend, Oregon",GeekWire,Private,
